"","coordinates_lat","coordinates_lon","date","zipCode"
"138",56.261715,8.647688,2024-01-30,7550
"139",55.11475,14.704329,2018-09-03,3700
"140",55.70086,12.527714,2006-06-27,2400
"141",56.143456,8.974467,1993-10-10,7400
"142",56.394993,9.46647,2015-01-01,8800
"143",56.76419,8.9808235,1999-05-10,7870
"144",55.7027,12.583746,1993-11-08,2100
"145",55.19388,11.576997,2009-04-23,4700
"146",56.11491,10.207794,2011-02-16,8270
"147",55.818764,10.633411,1998-02-01,8305
"148",55.312107,11.750918,1999-12-07,4160
"149",55.403675,12.081243,1992-01-30,4682
"150",55.806767,8.622373,2002-09-16,6870
"151",55.25431,12.055898,2001-07-23,4683
"152",55.57022,9.746865,1993-11-22,7000
"153",56.166862,10.217977,1999-06-11,8000
"154",54.898193,9.654912,1996-01-01,6310
"155",55.639526,12.48551,2014-08-21,2650
"156",55.584972,10.421961,1992-08-06,5450
"157",56.658474,9.794335,2016-01-01,9500
"158",55.58761,12.643412,1997-06-13,2791
"159",55.94744,11.874078,2003-12-27,3390
"160",55.69727,12.478755,2004-01-09,2720
"161",55.932346,11.562256,1992-12-23,4573
"162",55.685375,12.49246,2009-06-11,2720
"163",55.949642,12.037418,2023-08-25,3300
"164",56.54573,9.843275,1994-12-01,8990
"165",56.5942,8.95641,2006-11-07,7800
"166",57.051334,9.902442,2005-08-12,9000
"167",55.323215,12.415122,2011-03-01,4660
"168",55.663136,12.092351,2023-08-02,4000
"169",56.37086,9.736474,2002-10-24,8860
"170",55.778835,11.691755,2002-06-03,4300
"171",55.085274,10.264293,2009-07-10,5600
"172",55.539177,12.214909,2000-05-01,2680
"173",55.48388,9.133694,1998-08-13,6600
"174",56.37308,8.567771,2008-08-02,7500
"175",55.759354,12.49493,1999-09-04,2800
"176",56.298042,10.144871,2002-06-03,8380
"177",55.60978,12.359696,1998-05-25,2635
"178",56.366024,10.633407,2010-04-19,8560
"179",55.448517,11.441311,1998-05-29,4200
"180",55.27443,10.104487,1999-04-10,5620
"181",55.645535,12.552203,2020-02-27,2450
"182",54.984962,9.919283,1999-10-08,6440
"183",56.2346,9.08765,2007-11-08,7451
"184",55.71359,12.473811,2006-03-15,2700
"185",54.76343,11.912105,2005-12-02,4800
